Timestamp,Container,Name,ID,CPUPerc,MemUsage,MemPerc,NetIO,BlockIO,PIDs
1741073583,bcc60379e5da,reverse-proxy-cache-1,bcc60379e5da,5.28%,"15.43MiB / 20MiB",77.15%,"271MB / 254MB","0B / 0B",18
1741073583,41ed85c44298,reverse-proxy-lb-1,41ed85c44298,0.07%,"99.72MiB / 15.48GiB",0.63%,"4.15MB / 5.17MB","0B / 0B",40
1741073583,4874efbe8ea1,reverse-proxy-agent-1,4874efbe8ea1,61.47%,"2.373GiB / 15.48GiB",15.33%,"358MB / 356MB","0B / 0B",1430
1741073583,0b38c8e0622b,reverse-proxy-controller-1,0b38c8e0622b,1.02%,"817.8MiB / 15.48GiB",5.16%,"21.3MB / 92.1MB","0B / 0B",250
1741073583,ae648a8a89da,reverse-proxy-api-1,ae648a8a89da,0.08%,"137.4MiB / 200MiB",68.69%,"2.77MB / 2.16MB","0B / 0B",22
1741073594,bcc60379e5da,reverse-proxy-cache-1,bcc60379e5da,5.96%,"15.5MiB / 20MiB",77.48%,"275MB / 258MB","0B / 0B",18
1741073594,41ed85c44298,reverse-proxy-lb-1,41ed85c44298,0.11%,"99.72MiB / 15.48GiB",0.63%,"4.15MB / 5.17MB","0B / 0B",40
1741073594,4874efbe8ea1,reverse-proxy-agent-1,4874efbe8ea1,66.68%,"2.665GiB / 15.48GiB",17.22%,"362MB / 359MB","0B / 0B",1430
1741073594,0b38c8e0622b,reverse-proxy-controller-1,0b38c8e0622b,1.58%,"818.6MiB / 15.48GiB",5.17%,"21.5MB / 92.1MB","0B / 0B",250
1741073594,ae648a8a89da,reverse-proxy-api-1,ae648a8a89da,0.52%,"137.4MiB / 200MiB",68.70%,"2.77MB / 2.16MB","0B / 0B",23
1741073606,bcc60379e5da,reverse-proxy-cache-1,bcc60379e5da,7.57%,"15.66MiB / 20MiB",78.32%,"280MB / 262MB","0B / 0B",18
1741073606,41ed85c44298,reverse-proxy-lb-1,41ed85c44298,0.32%,"99.73MiB / 15.48GiB",0.63%,"4.16MB / 5.19MB","0B / 0B",40
1741073606,4874efbe8ea1,reverse-proxy-agent-1,4874efbe8ea1,50.72%,"2.729GiB / 15.48GiB",17.63%,"365MB / 363MB","0B / 0B",1430
1741073606,0b38c8e0622b,reverse-proxy-controller-1,0b38c8e0622b,0.94%,"819.5MiB / 15.48GiB",5.17%,"21.6MB / 92.2MB","0B / 0B",250
1741073606,ae648a8a89da,reverse-proxy-api-1,ae648a8a89da,2.70%,"137.5MiB / 200MiB",68.76%,"2.78MB / 2.17MB","0B / 0B",26
