DateTime,vuser,Tests,Errors,Mean_Test_Time_(ms),Test_Time_Standard_Deviation_(ms),TPS,Mean_response_length,Response_bytes_per_second,Response_errors,Mean_time_to_resolve_host,Mean_time_to_establish_connection,Mean_time_to_first_byte
2025-02-26 00:20:59,6,7,0,3701.571,905.122,3.5,77.571,271.5,0,0,6.714,2695
2025-02-26 00:21:01,6,1,0,3437,0,0.5,77,38.5,0,0,1,2363
2025-02-26 00:21:03,6,6,0,3642.667,906.761,3,77.667,233,0,0,0.333,2625.667
2025-02-26 00:21:05,12,0,0,0,0,0,0,0,0,0,0,0
2025-02-26 00:21:07,12,2,0,4461,105,1,76,76,0,0,1,3435
2025-02-26 00:21:09,12,2,0,5503,526,1,77,77,0,0,1,4454
2025-02-26 00:21:11,12,5,0,7035.2,223.098,2.5,76.4,191,0,0,0.8,6038.6
2025-02-26 00:21:13,12,7,0,6533.143,1313.044,3.5,77.143,270,0,0,0.571,5523.143
2025-02-26 00:21:15,18,1,0,5249,0,0.5,76,38,0,0,1,4261
2025-02-26 00:21:17,18,0,0,0,0,0,0,0,0,0,0,0
2025-02-26 00:21:19,18,1,0,8221,0,0.5,76,38,0,0,1,7119
2025-02-26 00:21:21,18,3,0,9188,1005.511,1.5,76.333,114.5,0,0,1,8224.333
2025-02-26 00:21:23,18,3,0,10600,249.992,1.5,76.333,114.5,0,0,0.667,9576
2025-02-26 00:21:25,24,8,0,10627.75,307.869,4,76.25,305,0,0,0.5,9573.875
2025-02-26 00:21:27,24,3,0,11481.667,1185.587,1.5,75.667,113.5,0,0,0.333,10507.333
2025-02-26 00:21:29,24,0,0,0,0,0,0,0,0,0,0,0
2025-02-26 00:21:31,24,3,0,9842.667,2425.152,1.5,76.333,114.5,0,0,1,8854
2025-02-26 00:21:33,24,3,0,11833,723.625,1.5,76.333,114.5,0,0,0.667,10866
2025-02-26 00:21:35,30,0,0,0,0,0,0,0,0,0,0,0
2025-02-26 00:21:37,30,1,0,11436,0,0.5,76,38,0,0,0,10405
2025-02-26 00:21:39,30,8,0,14185,458.218,4,76.875,307.5,0,0,0.375,13176.25
2025-02-26 00:21:41,30,3,0,16848.333,51.292,1.5,76.667,115,0,0,0.333,15895
2025-02-26 00:21:43,30,4,0,16901.25,1034.641,2,76.25,152.5,0,0,0.5,15885
2025-02-26 00:21:45,36,2,0,12937.5,849.5,1,77,77,0,0,0.5,11965.5
2025-02-26 00:21:47,36,6,0,16236.667,3657.147,3,76.833,230.5,0,0,0.667,15238.833
2025-02-26 00:21:49,36,1,0,17701,0,0.5,76,38,0,0,1,16722
2025-02-26 00:21:51,36,1,0,18163,0,0.5,76,38,0,0,1,17091
2025-02-26 00:21:53,36,0,0,0,0,0,0,0,0,0,0,0
2025-02-26 00:21:55,42,2,0,19117.5,1700.5,1,77,77,0,0,0.5,18137
2025-02-26 00:21:57,42,2,0,19374,366,1,77.5,77.5,0,0,0.5,18314.5
2025-02-26 00:21:59,42,8,0,21542.75,2156.61,4,76.5,306,0,0,0.625,20556.625
2025-02-26 00:22:01,42,1,0,16576,0,0.5,78,39,0,0,0,15534
2025-02-26 00:22:03,42,9,0,21502.444,2903.138,4.5,77.111,347,0,0,0.333,20500.889
2025-02-26 00:22:05,48,7,0,18871,1654.87,3.5,77,269.5,0,0,0.571,17895.857
2025-02-26 00:22:07,48,0,0,0,0,0,0,0,0,0,0,0
2025-02-26 00:22:09,48,4,0,21712.25,1822.807,2,77,154,0,0,0.75,20747
2025-02-26 00:22:11,48,1,0,23277,0,0.5,77,38.5,0,0,0,22174
2025-02-26 00:22:13,48,2,0,21288,3602,1,77.5,77.5,0,0,0,20379
2025-02-26 00:22:15,54,0,0,0,0,0,0,0,0,0,0,0
2025-02-26 00:22:17,54,4,0,22925,1376.079,2,76.5,153,0,0,0.5,21917.5
2025-02-26 00:22:19,54,2,0,21945,2244,1,76.5,76.5,0,0,0,20893
