Timestamp,Container,Name,ID,CPUPerc,MemUsage,MemPerc,NetIO,BlockIO,PIDs
1741052884,9d1e99b9fe28,reverse-proxy-cache-1,9d1e99b9fe28,0.00%,"14.28MiB / 20MiB",71.39%,"1.1kB / 0B","0B / 0B",19
1741052884,5814d6ce882a,reverse-proxy-agent-1,5814d6ce882a,1386.90%,"2.157GiB / 15.48GiB",13.94%,"82.4MB / 583kB","0B / 0B",1485
1741052884,71470d248e8c,reverse-proxy-lb-1,71470d248e8c,0.11%,"89.82MiB / 15.48GiB",0.57%,"1.25kB / 0B","0B / 0B",35
1741052884,317a7af4d769,reverse-proxy-controller-1,317a7af4d769,13.82%,"859.3MiB / 15.48GiB",5.42%,"2.85MB / 82.7MB","0B / 0B",243
1741052884,3fb559b0c861,reverse-proxy-api-1,3fb559b0c861,0.12%,"77.28MiB / 200MiB",38.64%,"1.34kB / 0B","0B / 0B",20
1741052888,9d1e99b9fe28,reverse-proxy-cache-1,9d1e99b9fe28,0.00%,"13.86MiB / 20MiB",69.28%,"1.22kB / 0B","0B / 0B",18
1741052888,5814d6ce882a,reverse-proxy-agent-1,5814d6ce882a,16.41%,"2.185GiB / 15.48GiB",14.12%,"82.5MB / 661kB","0B / 0B",1436
1741052888,71470d248e8c,reverse-proxy-lb-1,71470d248e8c,1.15%,"90.51MiB / 15.48GiB",0.57%,"64.4kB / 70.9kB","0B / 0B",35
1741052888,317a7af4d769,reverse-proxy-controller-1,317a7af4d769,24.46%,"861.1MiB / 15.48GiB",5.43%,"2.9MB / 82.7MB","0B / 0B",243
1741052888,3fb559b0c861,reverse-proxy-api-1,3fb559b0c861,16.64%,"78.57MiB / 200MiB",39.28%,"20.9kB / 13.8kB","0B / 0B",22
1741052893,9d1e99b9fe28,reverse-proxy-cache-1,9d1e99b9fe28,0.00%,"13.86MiB / 20MiB",69.28%,"1.22kB / 0B","0B / 0B",18
1741052893,5814d6ce882a,reverse-proxy-agent-1,5814d6ce882a,26.73%,"2.091GiB / 15.48GiB",13.51%,"82.6MB / 844kB","0B / 0B",1445
1741052893,71470d248e8c,reverse-proxy-lb-1,71470d248e8c,1.74%,"91.45MiB / 15.48GiB",0.58%,"307kB / 341kB","0B / 0B",35
1741052893,317a7af4d769,reverse-proxy-controller-1,317a7af4d769,7.16%,"861.7MiB / 15.48GiB",5.44%,"2.95MB / 82.7MB","0B / 0B",243
1741052893,3fb559b0c861,reverse-proxy-api-1,3fb559b0c861,45.53%,"79.64MiB / 200MiB",39.82%,"123kB / 86.9kB","0B / 0B",24
1741052897,9d1e99b9fe28,reverse-proxy-cache-1,9d1e99b9fe28,0.00%,"13.86MiB / 20MiB",69.28%,"1.22kB / 0B","0B / 0B",18
1741052897,5814d6ce882a,reverse-proxy-agent-1,5814d6ce882a,26.13%,"2.084GiB / 15.48GiB",13.46%,"82.8MB / 1.07MB","0B / 0B",1444
1741052897,71470d248e8c,reverse-proxy-lb-1,71470d248e8c,2.29%,"93.02MiB / 15.48GiB",0.59%,"640kB / 723kB","0B / 0B",35
1741052897,317a7af4d769,reverse-proxy-controller-1,317a7af4d769,4.71%,"863.2MiB / 15.48GiB",5.45%,"3.02MB / 82.7MB","0B / 0B",241
1741052897,3fb559b0c861,reverse-proxy-api-1,3fb559b0c861,50.20%,"83.47MiB / 200MiB",41.73%,"335kB / 234kB","0B / 0B",28
1741052902,9d1e99b9fe28,reverse-proxy-cache-1,9d1e99b9fe28,0.00%,"13.86MiB / 20MiB",69.28%,"1.29kB / 0B","0B / 0B",18
1741052902,5814d6ce882a,reverse-proxy-agent-1,5814d6ce882a,21.85%,"2.087GiB / 15.48GiB",13.48%,"82.9MB / 1.29MB","0B / 0B",1441
1741052902,71470d248e8c,reverse-proxy-lb-1,71470d248e8c,1.93%,"93.4MiB / 15.48GiB",0.59%,"982kB / 1.11MB","0B / 0B",35
1741052902,317a7af4d769,reverse-proxy-controller-1,317a7af4d769,2.74%,"864MiB / 15.48GiB",5.45%,"3.08MB / 82.8MB","0B / 0B",241
1741052902,3fb559b0c861,reverse-proxy-api-1,3fb559b0c861,49.49%,"83.57MiB / 200MiB",41.79%,"552kB / 386kB","0B / 0B",28
1741052906,9d1e99b9fe28,reverse-proxy-cache-1,9d1e99b9fe28,0.00%,"13.86MiB / 20MiB",69.28%,"1.29kB / 0B","0B / 0B",18
1741052906,5814d6ce882a,reverse-proxy-agent-1,5814d6ce882a,33.73%,"2.093GiB / 15.48GiB",13.52%,"83.1MB / 1.52MB","0B / 0B",1456
1741052906,71470d248e8c,reverse-proxy-lb-1,71470d248e8c,1.87%,"93.72MiB / 15.48GiB",0.59%,"1.33MB / 1.52MB","0B / 0B",35
1741052906,317a7af4d769,reverse-proxy-controller-1,317a7af4d769,1.75%,"865.4MiB / 15.48GiB",5.46%,"3.15MB / 82.8MB","0B / 0B",240
1741052906,3fb559b0c861,reverse-proxy-api-1,3fb559b0c861,49.36%,"83.88MiB / 200MiB",41.94%,"778kB / 542kB","0B / 0B",27
1741052911,9d1e99b9fe28,reverse-proxy-cache-1,9d1e99b9fe28,0.00%,"13.86MiB / 20MiB",69.28%,"1.29kB / 0B","0B / 0B",18
1741052911,5814d6ce882a,reverse-proxy-agent-1,5814d6ce882a,18.44%,"2.094GiB / 15.48GiB",13.53%,"83.3MB / 1.76MB","0B / 0B",1439
1741052911,71470d248e8c,reverse-proxy-lb-1,71470d248e8c,1.84%,"93.93MiB / 15.48GiB",0.59%,"1.68MB / 1.92MB","0B / 0B",35
1741052911,317a7af4d769,reverse-proxy-controller-1,317a7af4d769,12.43%,"868.4MiB / 15.48GiB",5.48%,"3.21MB / 82.8MB","0B / 0B",242
1741052911,3fb559b0c861,reverse-proxy-api-1,3fb559b0c861,49.13%,"84.18MiB / 200MiB",42.09%,"1.01MB / 701kB","0B / 0B",28
1741052916,9d1e99b9fe28,reverse-proxy-cache-1,9d1e99b9fe28,0.00%,"13.86MiB / 20MiB",69.28%,"1.29kB / 0B","0B / 0B",18
1741052916,5814d6ce882a,reverse-proxy-agent-1,5814d6ce882a,20.26%,"2.096GiB / 15.48GiB",13.55%,"83.4MB / 1.99MB","0B / 0B",1436
1741052916,71470d248e8c,reverse-proxy-lb-1,71470d248e8c,1.82%,"95.68MiB / 15.48GiB",0.60%,"2.04MB / 2.33MB","0B / 0B",35
1741052916,317a7af4d769,reverse-proxy-controller-1,317a7af4d769,3.54%,"868.8MiB / 15.48GiB",5.48%,"3.28MB / 82.8MB","0B / 0B",242
1741052916,3fb559b0c861,reverse-proxy-api-1,3fb559b0c861,49.82%,"87.2MiB / 200MiB",43.60%,"1.23MB / 860kB","0B / 0B",34
1741052920,9d1e99b9fe28,reverse-proxy-cache-1,9d1e99b9fe28,0.00%,"13.86MiB / 20MiB",69.28%,"1.29kB / 0B","0B / 0B",18
1741052920,5814d6ce882a,reverse-proxy-agent-1,5814d6ce882a,19.72%,"2.1GiB / 15.48GiB",13.57%,"83.6MB / 2.22MB","0B / 0B",1433
1741052920,71470d248e8c,reverse-proxy-lb-1,71470d248e8c,1.95%,"98.32MiB / 15.48GiB",0.62%,"2.39MB / 2.73MB","0B / 0B",35
1741052920,317a7af4d769,reverse-proxy-controller-1,317a7af4d769,2.10%,"869.4MiB / 15.48GiB",5.49%,"3.35MB / 82.8MB","0B / 0B",239
1741052920,3fb559b0c861,reverse-proxy-api-1,3fb559b0c861,50.33%,"88.27MiB / 200MiB",44.13%,"1.47MB / 1.02MB","0B / 0B",34
1741052925,9d1e99b9fe28,reverse-proxy-cache-1,9d1e99b9fe28,0.00%,"13.86MiB / 20MiB",69.28%,"1.29kB / 0B","0B / 0B",18
1741052925,5814d6ce882a,reverse-proxy-agent-1,5814d6ce882a,20.25%,"2.103GiB / 15.48GiB",13.59%,"83.7MB / 2.41MB","0B / 0B",1433
1741052925,71470d248e8c,reverse-proxy-lb-1,71470d248e8c,1.98%,"98.73MiB / 15.48GiB",0.62%,"2.75MB / 3.14MB","0B / 0B",35
1741052925,317a7af4d769,reverse-proxy-controller-1,317a7af4d769,10.72%,"870.5MiB / 15.48GiB",5.49%,"3.4MB / 82.9MB","0B / 0B",238
1741052925,3fb559b0c861,reverse-proxy-api-1,3fb559b0c861,50.45%,"88.12MiB / 200MiB",44.06%,"1.75MB / 1.22MB","0B / 0B",28
1741052929,9d1e99b9fe28,reverse-proxy-cache-1,9d1e99b9fe28,0.00%,"13.86MiB / 20MiB",69.28%,"1.29kB / 0B","0B / 0B",18
1741052929,5814d6ce882a,reverse-proxy-agent-1,5814d6ce882a,14.48%,"2.108GiB / 15.48GiB",13.62%,"83.9MB / 2.68MB","0B / 0B",1430
1741052929,71470d248e8c,reverse-proxy-lb-1,71470d248e8c,1.87%,"98.88MiB / 15.48GiB",0.62%,"3.11MB / 3.55MB","0B / 0B",35
1741052929,317a7af4d769,reverse-proxy-controller-1,317a7af4d769,5.51%,"871.8MiB / 15.48GiB",5.50%,"3.47MB / 82.9MB","0B / 0B",241
1741052929,3fb559b0c861,reverse-proxy-api-1,3fb559b0c861,49.34%,"88.19MiB / 200MiB",44.09%,"1.93MB / 1.34MB","0B / 0B",28
1741052934,9d1e99b9fe28,reverse-proxy-cache-1,9d1e99b9fe28,0.00%,"13.86MiB / 20MiB",69.28%,"1.29kB / 0B","0B / 0B",18
1741052934,5814d6ce882a,reverse-proxy-agent-1,5814d6ce882a,22.85%,"2.112GiB / 15.48GiB",13.65%,"84.1MB / 2.92MB","0B / 0B",1441
1741052934,71470d248e8c,reverse-proxy-lb-1,71470d248e8c,2.01%,"101MiB / 15.48GiB",0.64%,"3.47MB / 3.96MB","0B / 0B",35
1741052934,317a7af4d769,reverse-proxy-controller-1,317a7af4d769,3.53%,"872.6MiB / 15.48GiB",5.51%,"3.54MB / 82.9MB","0B / 0B",240
1741052934,3fb559b0c861,reverse-proxy-api-1,3fb559b0c861,49.68%,"88.18MiB / 200MiB",44.09%,"2.16MB / 1.5MB","0B / 0B",28
1741052939,9d1e99b9fe28,reverse-proxy-cache-1,9d1e99b9fe28,0.00%,"13.86MiB / 20MiB",69.28%,"1.29kB / 0B","0B / 0B",18
1741052939,5814d6ce882a,reverse-proxy-agent-1,5814d6ce882a,12.49%,"2.117GiB / 15.48GiB",13.68%,"84.3MB / 3.15MB","0B / 0B",1431
1741052939,71470d248e8c,reverse-proxy-lb-1,71470d248e8c,1.89%,"101.5MiB / 15.48GiB",0.64%,"3.82MB / 4.36MB","0B / 0B",35
1741052939,317a7af4d769,reverse-proxy-controller-1,317a7af4d769,9.29%,"873.1MiB / 15.48GiB",5.51%,"3.6MB / 82.9MB","0B / 0B",241
1741052939,3fb559b0c861,reverse-proxy-api-1,3fb559b0c861,50.22%,"88.19MiB / 200MiB",44.09%,"2.38MB / 1.66MB","0B / 0B",28
1741052943,9d1e99b9fe28,reverse-proxy-cache-1,9d1e99b9fe28,0.00%,"13.86MiB / 20MiB",69.28%,"1.29kB / 0B","0B / 0B",18
1741052943,5814d6ce882a,reverse-proxy-agent-1,5814d6ce882a,26.05%,"2.126GiB / 15.48GiB",13.74%,"84.4MB / 3.38MB","0B / 0B",1442
1741052943,71470d248e8c,reverse-proxy-lb-1,71470d248e8c,2.06%,"101.8MiB / 15.48GiB",0.64%,"4.17MB / 4.77MB","0B / 0B",35
1741052943,317a7af4d769,reverse-proxy-controller-1,317a7af4d769,3.69%,"873.9MiB / 15.48GiB",5.51%,"3.66MB / 82.9MB","0B / 0B",238
1741052943,3fb559b0c861,reverse-proxy-api-1,3fb559b0c861,49.77%,"88.22MiB / 200MiB",44.11%,"2.62MB / 1.82MB","0B / 0B",29
1741052948,9d1e99b9fe28,reverse-proxy-cache-1,9d1e99b9fe28,0.00%,"13.86MiB / 20MiB",69.28%,"1.29kB / 0B","0B / 0B",18
1741052948,5814d6ce882a,reverse-proxy-agent-1,5814d6ce882a,16.81%,"2.134GiB / 15.48GiB",13.79%,"84.6MB / 3.62MB","0B / 0B",1431
1741052948,71470d248e8c,reverse-proxy-lb-1,71470d248e8c,1.95%,"102.2MiB / 15.48GiB",0.64%,"4.53MB / 5.18MB","0B / 0B",35
1741052948,317a7af4d769,reverse-proxy-controller-1,317a7af4d769,1.52%,"875.1MiB / 15.48GiB",5.52%,"3.73MB / 83MB","0B / 0B",238
1741052948,3fb559b0c861,reverse-proxy-api-1,3fb559b0c861,50.39%,"88.22MiB / 200MiB",44.11%,"2.85MB / 1.98MB","0B / 0B",29
1741052952,9d1e99b9fe28,reverse-proxy-cache-1,9d1e99b9fe28,0.00%,"13.86MiB / 20MiB",69.28%,"1.29kB / 0B","0B / 0B",18
1741052952,5814d6ce882a,reverse-proxy-agent-1,5814d6ce882a,24.74%,"2.152GiB / 15.48GiB",13.91%,"84.8MB / 3.85MB","0B / 0B",1444
1741052952,71470d248e8c,reverse-proxy-lb-1,71470d248e8c,1.97%,"103.8MiB / 15.48GiB",0.66%,"4.88MB / 5.58MB","0B / 0B",35
1741052952,317a7af4d769,reverse-proxy-controller-1,317a7af4d769,3.14%,"875.4MiB / 15.48GiB",5.52%,"3.8MB / 83MB","0B / 0B",238
1741052952,3fb559b0c861,reverse-proxy-api-1,3fb559b0c861,49.24%,"88.48MiB / 200MiB",44.24%,"3.07MB / 2.14MB","0B / 0B",28
1741052957,9d1e99b9fe28,reverse-proxy-cache-1,9d1e99b9fe28,0.00%,"13.86MiB / 20MiB",69.28%,"1.29kB / 0B","0B / 0B",18
1741052957,5814d6ce882a,reverse-proxy-agent-1,5814d6ce882a,11.27%,"2.151GiB / 15.48GiB",13.90%,"85MB / 4.08MB","0B / 0B",1430
1741052957,71470d248e8c,reverse-proxy-lb-1,71470d248e8c,1.94%,"104.2MiB / 15.48GiB",0.66%,"5.24MB / 5.99MB","0B / 0B",35
1741052957,317a7af4d769,reverse-proxy-controller-1,317a7af4d769,13.26%,"876.2MiB / 15.48GiB",5.53%,"3.86MB / 83MB","0B / 0B",238
1741052957,3fb559b0c861,reverse-proxy-api-1,3fb559b0c861,49.43%,"88.46MiB / 200MiB",44.23%,"3.31MB / 2.3MB","0B / 0B",27
1741052961,9d1e99b9fe28,reverse-proxy-cache-1,9d1e99b9fe28,0.00%,"13.86MiB / 20MiB",69.28%,"1.29kB / 0B","0B / 0B",18
1741052961,5814d6ce882a,reverse-proxy-agent-1,5814d6ce882a,33.37%,"2.154GiB / 15.48GiB",13.92%,"85.1MB / 4.31MB","0B / 0B",1430
1741052961,71470d248e8c,reverse-proxy-lb-1,71470d248e8c,2.09%,"104.6MiB / 15.48GiB",0.66%,"5.6MB / 6.4MB","0B / 0B",35
1741052961,317a7af4d769,reverse-proxy-controller-1,317a7af4d769,2.64%,"876.8MiB / 15.48GiB",5.53%,"3.92MB / 83MB","0B / 0B",239
1741052961,3fb559b0c861,reverse-proxy-api-1,3fb559b0c861,50.31%,"88.46MiB / 200MiB",44.23%,"3.54MB / 2.46MB","0B / 0B",27
1741052966,9d1e99b9fe28,reverse-proxy-cache-1,9d1e99b9fe28,0.00%,"13.86MiB / 20MiB",69.28%,"1.29kB / 0B","0B / 0B",18
1741052966,5814d6ce882a,reverse-proxy-agent-1,5814d6ce882a,21.12%,"2.159GiB / 15.48GiB",13.95%,"85.3MB / 4.55MB","0B / 0B",1448
1741052966,71470d248e8c,reverse-proxy-lb-1,71470d248e8c,2.13%,"105MiB / 15.48GiB",0.66%,"5.95MB / 6.8MB","0B / 0B",35
1741052966,317a7af4d769,reverse-proxy-controller-1,317a7af4d769,2.50%,"877.1MiB / 15.48GiB",5.53%,"3.99MB / 83MB","0B / 0B",238
1741052966,3fb559b0c861,reverse-proxy-api-1,3fb559b0c861,49.83%,"88.46MiB / 200MiB",44.23%,"3.76MB / 2.62MB","0B / 0B",27
