Timestamp,Container,Name,ID,CPUPerc,MemUsage,MemPerc,NetIO,BlockIO,PIDs
1741051332,36f7a7491afe,reverse-proxy-cache-1,36f7a7491afe,0.00%,"13.55MiB / 20MiB",67.73%,"13.2kB / 11.4kB","0B / 0B",18
1741051332,1ee72eb2c335,reverse-proxy-lb-1,1ee72eb2c335,1.48%,"105MiB / 15.48GiB",0.66%,"165MB / 189MB","0B / 0B",40
1741051332,1c2c635b61a2,reverse-proxy-agent-1,1c2c635b61a2,21.17%,"2.248GiB / 15.48GiB",14.52%,"159MB / 91.5MB","0B / 0B",1438
1741051332,3353e17d2b28,reverse-proxy-api-1,3353e17d2b28,5.60%,"86.39MiB / 200MiB",43.19%,"104MB / 73.4MB","0B / 0B",22
1741051332,18cdcc71f15e,reverse-proxy-controller-1,18cdcc71f15e,1.27%,"701MiB / 15.48GiB",4.42%,"13.9MB / 86.3MB","0B / 0B",249
1741051337,36f7a7491afe,reverse-proxy-cache-1,36f7a7491afe,0.00%,"13.55MiB / 20MiB",67.73%,"13.2kB / 11.4kB","0B / 0B",18
1741051337,1ee72eb2c335,reverse-proxy-lb-1,1ee72eb2c335,2.67%,"105.5MiB / 15.48GiB",0.67%,"165MB / 190MB","0B / 0B",40
1741051337,1c2c635b61a2,reverse-proxy-agent-1,1c2c635b61a2,30.49%,"2.25GiB / 15.48GiB",14.54%,"159MB / 91.8MB","0B / 0B",1440
1741051337,3353e17d2b28,reverse-proxy-api-1,3353e17d2b28,9.64%,"86.41MiB / 200MiB",43.20%,"104MB / 73.6MB","0B / 0B",22
1741051337,18cdcc71f15e,reverse-proxy-controller-1,18cdcc71f15e,0.88%,"701.3MiB / 15.48GiB",4.42%,"13.9MB / 86.3MB","0B / 0B",252
1741051342,36f7a7491afe,reverse-proxy-cache-1,36f7a7491afe,0.00%,"13.55MiB / 20MiB",67.73%,"13.2kB / 11.4kB","0B / 0B",18
1741051342,1ee72eb2c335,reverse-proxy-lb-1,1ee72eb2c335,3.54%,"106.2MiB / 15.48GiB",0.67%,"165MB / 190MB","0B / 0B",40
1741051342,1c2c635b61a2,reverse-proxy-agent-1,1c2c635b61a2,32.35%,"2.258GiB / 15.48GiB",14.59%,"160MB / 92.1MB","0B / 0B",1442
1741051342,3353e17d2b28,reverse-proxy-api-1,3353e17d2b28,15.33%,"86.45MiB / 200MiB",43.22%,"104MB / 73.7MB","0B / 0B",23
1741051342,18cdcc71f15e,reverse-proxy-controller-1,18cdcc71f15e,1.00%,"701.4MiB / 15.48GiB",4.43%,"14MB / 86.4MB","0B / 0B",249
1741051346,36f7a7491afe,reverse-proxy-cache-1,36f7a7491afe,0.00%,"13.55MiB / 20MiB",67.73%,"13.2kB / 11.4kB","0B / 0B",18
1741051346,1ee72eb2c335,reverse-proxy-lb-1,1ee72eb2c335,4.83%,"107.3MiB / 15.48GiB",0.68%,"166MB / 191MB","0B / 0B",40
1741051346,1c2c635b61a2,reverse-proxy-agent-1,1c2c635b61a2,45.54%,"2.266GiB / 15.48GiB",14.64%,"160MB / 92.5MB","0B / 0B",1452
1741051346,3353e17d2b28,reverse-proxy-api-1,3353e17d2b28,21.14%,"86.45MiB / 200MiB",43.22%,"105MB / 73.9MB","0B / 0B",23
1741051346,18cdcc71f15e,reverse-proxy-controller-1,18cdcc71f15e,1.33%,"701.8MiB / 15.48GiB",4.43%,"14MB / 86.4MB","0B / 0B",249
1741051351,36f7a7491afe,reverse-proxy-cache-1,36f7a7491afe,0.00%,"13.55MiB / 20MiB",67.73%,"13.2kB / 11.4kB","0B / 0B",18
1741051351,1ee72eb2c335,reverse-proxy-lb-1,1ee72eb2c335,5.36%,"108.5MiB / 15.48GiB",0.68%,"167MB / 192MB","0B / 0B",40
1741051351,1c2c635b61a2,reverse-proxy-agent-1,1c2c635b61a2,54.06%,"2.28GiB / 15.48GiB",14.73%,"160MB / 93.1MB","0B / 0B",1446
1741051351,3353e17d2b28,reverse-proxy-api-1,3353e17d2b28,22.37%,"86.48MiB / 200MiB",43.24%,"105MB / 74.2MB","0B / 0B",24
1741051351,18cdcc71f15e,reverse-proxy-controller-1,18cdcc71f15e,0.80%,"702.1MiB / 15.48GiB",4.43%,"14.1MB / 86.4MB","0B / 0B",249
1741051356,36f7a7491afe,reverse-proxy-cache-1,36f7a7491afe,0.00%,"13.55MiB / 20MiB",67.73%,"13.2kB / 11.4kB","0B / 0B",18
1741051356,1ee72eb2c335,reverse-proxy-lb-1,1ee72eb2c335,5.65%,"108.3MiB / 15.48GiB",0.68%,"168MB / 193MB","0B / 0B",40
1741051356,1c2c635b61a2,reverse-proxy-agent-1,1c2c635b61a2,59.20%,"2.294GiB / 15.48GiB",14.82%,"161MB / 93.7MB","0B / 0B",1447
1741051356,3353e17d2b28,reverse-proxy-api-1,3353e17d2b28,25.36%,"86.54MiB / 200MiB",43.27%,"105MB / 74.6MB","0B / 0B",24
1741051356,18cdcc71f15e,reverse-proxy-controller-1,18cdcc71f15e,0.71%,"702.4MiB / 15.48GiB",4.43%,"14.2MB / 86.4MB","0B / 0B",249
