Timestamp,Container,Name,ID,CPUPerc,MemUsage,MemPerc,NetIO,BlockIO,PIDs
1741075267,88086841a3a4,reverse-proxy-cache-1,88086841a3a4,0.00%,"15.76MiB / 20MiB",78.81%,"74.3MB / 70.3MB","0B / 0B",18
1741075267,3d88533f2338,reverse-proxy-lb-1,3d88533f2338,0.08%,"92.16MiB / 15.48GiB",0.58%,"240kB / 299kB","0B / 0B",39
1741075267,ea5cd194428d,reverse-proxy-agent-1,ea5cd194428d,1410.74%,"2.409GiB / 15.48GiB",15.56%,"164MB / 106MB","0B / 0B",1481
1741075267,091bab9b8518,reverse-proxy-api-1,091bab9b8518,0.12%,"123.2MiB / 800MiB",15.40%,"162kB / 124kB","0B / 0B",23
1741075267,17b667fa6b04,reverse-proxy-controller-1,17b667fa6b04,1.96%,"810.3MiB / 15.48GiB",5.11%,"6.5MB / 84.2MB","0B / 0B",244
1741075279,88086841a3a4,reverse-proxy-cache-1,88086841a3a4,1.37%,"15.92MiB / 20MiB",79.59%,"74.7MB / 70.6MB","0B / 0B",18
1741075279,3d88533f2338,reverse-proxy-lb-1,3d88533f2338,0.19%,"91.97MiB / 15.48GiB",0.58%,"243kB / 303kB","0B / 0B",39
1741075279,ea5cd194428d,reverse-proxy-agent-1,ea5cd194428d,29.59%,"2.329GiB / 15.48GiB",15.05%,"164MB / 106MB","0B / 0B",1442
1741075279,091bab9b8518,reverse-proxy-api-1,091bab9b8518,0.07%,"123.2MiB / 800MiB",15.40%,"164kB / 125kB","0B / 0B",21
1741075279,17b667fa6b04,reverse-proxy-controller-1,17b667fa6b04,0.78%,"811.4MiB / 15.48GiB",5.12%,"6.65MB / 84.2MB","0B / 0B",244
1741075291,88086841a3a4,reverse-proxy-cache-1,88086841a3a4,2.50%,"15.81MiB / 20MiB",79.06%,"76MB / 71.8MB","0B / 0B",18
1741075291,3d88533f2338,reverse-proxy-lb-1,3d88533f2338,0.07%,"91.95MiB / 15.48GiB",0.58%,"246kB / 306kB","0B / 0B",39
1741075291,ea5cd194428d,reverse-proxy-agent-1,ea5cd194428d,50.66%,"2.353GiB / 15.48GiB",15.20%,"165MB / 108MB","0B / 0B",1457
1741075291,091bab9b8518,reverse-proxy-api-1,091bab9b8518,0.06%,"123.2MiB / 800MiB",15.40%,"166kB / 127kB","0B / 0B",21
1741075291,17b667fa6b04,reverse-proxy-controller-1,17b667fa6b04,3.18%,"812.7MiB / 15.48GiB",5.13%,"6.82MB / 84.2MB","0B / 0B",245
1741075303,88086841a3a4,reverse-proxy-cache-1,88086841a3a4,4.76%,"15.84MiB / 20MiB",79.18%,"78.1MB / 73.9MB","0B / 0B",18
1741075303,3d88533f2338,reverse-proxy-lb-1,3d88533f2338,0.08%,"91.96MiB / 15.48GiB",0.58%,"248kB / 309kB","0B / 0B",39
1741075303,ea5cd194428d,reverse-proxy-agent-1,ea5cd194428d,66.60%,"2.376GiB / 15.48GiB",15.35%,"167MB / 109MB","0B / 0B",1430
