Timestamp,Container,Name,ID,CPUPerc,MemUsage,MemPerc,NetIO,BlockIO,PIDs
1741071759,bcc60379e5da,reverse-proxy-cache-1,bcc60379e5da,0.52%,"15.96MiB / 20MiB",79.82%,"187MB / 174MB","0B / 0B",18
1741071759,41ed85c44298,reverse-proxy-lb-1,41ed85c44298,0.08%,"92.65MiB / 15.48GiB",0.58%,"583kB / 733kB","0B / 0B",37
1741071759,4874efbe8ea1,reverse-proxy-agent-1,4874efbe8ea1,13.49%,"2.305GiB / 15.48GiB",14.90%,"276MB / 252MB","0B / 0B",1435
1741071759,0b38c8e0622b,reverse-proxy-controller-1,0b38c8e0622b,1.05%,"775.9MiB / 15.48GiB",4.90%,"14.9MB / 89.6MB","0B / 0B",250
1741071759,ae648a8a89da,reverse-proxy-api-1,ae648a8a89da,0.09%,"117.7MiB / 200MiB",58.87%,"396kB / 302kB","0B / 0B",21
1741071770,bcc60379e5da,reverse-proxy-cache-1,bcc60379e5da,1.86%,"15.99MiB / 20MiB",79.94%,"187MB / 175MB","0B / 0B",18
1741071770,41ed85c44298,reverse-proxy-lb-1,41ed85c44298,0.17%,"92.69MiB / 15.48GiB",0.58%,"599kB / 753kB","0B / 0B",37
1741071770,4874efbe8ea1,reverse-proxy-agent-1,4874efbe8ea1,32.08%,"2.236GiB / 15.48GiB",14.45%,"277MB / 253MB","0B / 0B",1450
1741071770,0b38c8e0622b,reverse-proxy-controller-1,0b38c8e0622b,0.59%,"776.7MiB / 15.48GiB",4.90%,"15MB / 89.6MB","0B / 0B",250
1741071770,ae648a8a89da,reverse-proxy-api-1,ae648a8a89da,10.75%,"113.5MiB / 200MiB",56.76%,"407kB / 310kB","0B / 0B",26
1741071782,bcc60379e5da,reverse-proxy-cache-1,bcc60379e5da,3.24%,"16.69MiB / 20MiB",83.44%,"189MB / 176MB","0B / 0B",18
1741071782,41ed85c44298,reverse-proxy-lb-1,41ed85c44298,0.10%,"93.03MiB / 15.48GiB",0.59%,"703kB / 885kB","0B / 0B",37
1741071782,4874efbe8ea1,reverse-proxy-agent-1,4874efbe8ea1,50.38%,"2.252GiB / 15.48GiB",14.55%,"278MB / 254MB","0B / 0B",1442
1741071782,0b38c8e0622b,reverse-proxy-controller-1,0b38c8e0622b,0.67%,"777.2MiB / 15.48GiB",4.90%,"15.2MB / 89.7MB","0B / 0B",250
1741071782,ae648a8a89da,reverse-proxy-api-1,ae648a8a89da,0.14%,"116MiB / 200MiB",58.01%,"478kB / 365kB","0B / 0B",30
1741071794,bcc60379e5da,reverse-proxy-cache-1,bcc60379e5da,3.94%,"17.58MiB / 20MiB",87.89%,"191MB / 178MB","0B / 0B",18
1741071794,41ed85c44298,reverse-proxy-lb-1,41ed85c44298,0.27%,"93.64MiB / 15.48GiB",0.59%,"847kB / 1.07MB","0B / 0B",37
1741071794,4874efbe8ea1,reverse-proxy-agent-1,4874efbe8ea1,47.86%,"2.313GiB / 15.48GiB",14.95%,"279MB / 256MB","0B / 0B",1441
1741071794,0b38c8e0622b,reverse-proxy-controller-1,0b38c8e0622b,0.63%,"778MiB / 15.48GiB",4.91%,"15.4MB / 89.7MB","0B / 0B",249
1741071794,ae648a8a89da,reverse-proxy-api-1,ae648a8a89da,97.28%,"118.5MiB / 200MiB",59.24%,"584kB / 437kB","0B / 0B",33
1741071805,bcc60379e5da,reverse-proxy-cache-1,bcc60379e5da,5.03%,"17.39MiB / 20MiB",86.97%,"194MB / 181MB","0B / 0B",18
1741071805,41ed85c44298,reverse-proxy-lb-1,41ed85c44298,0.25%,"95.45MiB / 15.48GiB",0.60%,"936kB / 1.17MB","0B / 0B",37
1741071805,4874efbe8ea1,reverse-proxy-agent-1,4874efbe8ea1,37.18%,"2.393GiB / 15.48GiB",15.46%,"282MB / 259MB","0B / 0B",1430
1741071805,0b38c8e0622b,reverse-proxy-controller-1,0b38c8e0622b,0.72%,"778.7MiB / 15.48GiB",4.91%,"15.5MB / 89.8MB","0B / 0B",249
1741071805,ae648a8a89da,reverse-proxy-api-1,ae648a8a89da,97.10%,"121.7MiB / 200MiB",60.86%,"637kB / 490kB","0B / 0B",31
1741071817,bcc60379e5da,reverse-proxy-cache-1,bcc60379e5da,7.03%,"17.8MiB / 20MiB",88.98%,"198MB / 185MB","0B / 0B",18
1741071817,41ed85c44298,reverse-proxy-lb-1,41ed85c44298,0.30%,"95.88MiB / 15.48GiB",0.61%,"1.06MB / 1.33MB","0B / 0B",37
1741071817,4874efbe8ea1,reverse-proxy-agent-1,4874efbe8ea1,99.18%,"2.593GiB / 15.48GiB",16.76%,"285MB / 262MB","0B / 0B",1430
1741071817,0b38c8e0622b,reverse-proxy-controller-1,0b38c8e0622b,1.19%,"780.1MiB / 15.48GiB",4.92%,"15.7MB / 89.8MB","0B / 0B",249
1741071817,ae648a8a89da,reverse-proxy-api-1,ae648a8a89da,96.86%,"113.9MiB / 200MiB",56.97%,"729kB / 547kB","0B / 0B",32
1741071828,bcc60379e5da,reverse-proxy-cache-1,bcc60379e5da,7.05%,"17.71MiB / 20MiB",88.54%,"203MB / 189MB","0B / 0B",18
1741071828,41ed85c44298,reverse-proxy-lb-1,41ed85c44298,0.27%,"95.86MiB / 15.48GiB",0.60%,"1.16MB / 1.45MB","0B / 0B",37
1741071828,4874efbe8ea1,reverse-proxy-agent-1,4874efbe8ea1,80.38%,"2.782GiB / 15.48GiB",17.97%,"288MB / 266MB","0B / 0B",1430
1741071828,0b38c8e0622b,reverse-proxy-controller-1,0b38c8e0622b,0.77%,"780.5MiB / 15.48GiB",4.92%,"15.9MB / 89.9MB","0B / 0B",249
1741071828,ae648a8a89da,reverse-proxy-api-1,ae648a8a89da,97.44%,"113.9MiB / 200MiB",56.94%,"795kB / 602kB","0B / 0B",29
1741071840,bcc60379e5da,reverse-proxy-cache-1,bcc60379e5da,0.00%,"17.21MiB / 20MiB",86.07%,"205MB / 192MB","0B / 0B",18
1741071840,41ed85c44298,reverse-proxy-lb-1,41ed85c44298,0.08%,"95.57MiB / 15.48GiB",0.60%,"1.18MB / 1.48MB","0B / 0B",37
1741071840,4874efbe8ea1,reverse-proxy-agent-1,4874efbe8ea1,74.74%,"3.03GiB / 15.48GiB",19.58%,"291MB / 270MB","0B / 0B",1430
1741071840,0b38c8e0622b,reverse-proxy-controller-1,0b38c8e0622b,1.55%,"781.3MiB / 15.48GiB",4.93%,"16.1MB / 89.9MB","0B / 0B",249
1741071840,ae648a8a89da,reverse-proxy-api-1,ae648a8a89da,0.10%,"113.8MiB / 200MiB",56.90%,"805kB / 623kB","0B / 0B",29
1741071852,bcc60379e5da,reverse-proxy-cache-1,bcc60379e5da,8.48%,"18.52MiB / 20MiB",92.60%,"208MB / 194MB","0B / 0B",18
1741071852,41ed85c44298,reverse-proxy-lb-1,41ed85c44298,0.30%,"96.77MiB / 15.48GiB",0.61%,"1.41MB / 1.77MB","0B / 0B",37
1741071852,4874efbe8ea1,reverse-proxy-agent-1,4874efbe8ea1,68.84%,"3.238GiB / 15.48GiB",20.92%,"294MB / 274MB","0B / 0B",1430
1741071852,0b38c8e0622b,reverse-proxy-controller-1,0b38c8e0622b,0.78%,"782MiB / 15.48GiB",4.93%,"16.2MB / 90MB","0B / 0B",249
1741071852,ae648a8a89da,reverse-proxy-api-1,ae648a8a89da,97.44%,"114.5MiB / 200MiB",57.26%,"984kB / 728kB","0B / 0B",31
1741071863,bcc60379e5da,reverse-proxy-cache-1,bcc60379e5da,1.19%,"17.43MiB / 20MiB",87.15%,"211MB / 197MB","0B / 0B",18
1741071863,41ed85c44298,reverse-proxy-lb-1,41ed85c44298,0.08%,"96.05MiB / 15.48GiB",0.61%,"1.49MB / 1.86MB","0B / 0B",37
1741071863,4874efbe8ea1,reverse-proxy-agent-1,4874efbe8ea1,185.78%,"3.462GiB / 15.48GiB",22.37%,"298MB / 278MB","0B / 0B",1430
1741071863,0b38c8e0622b,reverse-proxy-controller-1,0b38c8e0622b,1.05%,"782.5MiB / 15.48GiB",4.94%,"16.4MB / 90MB","0B / 0B",249
